"","대여소ID","총대여건수","구분","대여소명.x","대여일자","대여건수","대여소주소","위도","경도","기준시작일자","거치대수","temp","freqByBike","freqByBike_total"
"99",117,5059,"서대문구","117. 홍은사거리",201904,1792,"서울특별시 서대문구 통일로 483",37.59116,126.94133,"42254.064120370371",25,1,71.7,202.4
"100",118,5748,"마포구","118. 광흥창역 2번출구 앞",201902,415,"서울특별시 마포구 독막로 지하165",37.547733,126.931763,"42254.064953703702",10,1,41.5,574.8
"101",118,5748,"마포구","118. 광흥창역 2번출구 앞",201812,592,"서울특별시 마포구 독막로 지하165",37.547733,126.931763,"42254.064953703702",10,1,59.2,574.8
"102",118,5748,"마포구","118. 광흥창역 2번출구 앞",201901,539,"서울특별시 마포구 독막로 지하165",37.547733,126.931763,"42254.064953703702",10,1,53.9,574.8
"103",118,5748,"마포구","118. 광흥창역 2번출구 앞",201904,1357,"서울특별시 마포구 독막로 지하165",37.547733,126.931763,"42254.064953703702",10,1,135.7,574.8
"104",118,5748,"마포구","118. 광흥창역 2번출구 앞",201905,1925,"서울특별시 마포구 독막로 지하165",37.547733,126.931763,"42254.064953703702",10,1,192.5,574.8
"105",118,5748,"마포구","118. 광흥창역 2번출구 앞",201903,920,"서울특별시 마포구 독막로 지하165",37.547733,126.931763,"42254.064953703702",10,1,92,574.8
"106",119,4816,"마포구","119. 서강나루 공원",201812,441,"서울특별시 마포구 창전로 30",37.545284,126.931053,"42254.065671296295",10,1,44.1,481.6
"107",119,4816,"마포구","119. 서강나루 공원",201903,682,"서울특별시 마포구 창전로 30",37.545284,126.931053,"42254.065671296295",10,1,68.2,481.6
"108",119,4816,"마포구","119. 서강나루 공원",201905,1888,"서울특별시 마포구 창전로 30",37.545284,126.931053,"42254.065671296295",10,1,188.8,481.6
"109",119,4816,"마포구","119. 서강나루 공원",201901,319,"서울특별시 마포구 창전로 30",37.545284,126.931053,"42254.065671296295",10,1,31.9,481.6
"110",119,4816,"마포구","119. 서강나루 공원",201902,280,"서울특별시 마포구 창전로 30",37.545284,126.931053,"42254.065671296295",10,1,28,481.6
"111",119,4816,"마포구","119. 서강나루 공원",201904,1206,"서울특별시 마포구 창전로 30",37.545284,126.931053,"42254.065671296295",10,1,120.6,481.6
"112",120,2410,"마포구","120. 신수동 사거리",201812,327,"서울특별시 마포구 토정로 211",37.545242,126.934113,"42254.065960648149",5,1,65.4,482
"113",120,2410,"마포구","120. 신수동 사거리",201904,513,"서울특별시 마포구 토정로 211",37.545242,126.934113,"42254.065960648149",5,1,102.6,482
"114",120,2410,"마포구","120. 신수동 사거리",201901,263,"서울특별시 마포구 토정로 211",37.545242,126.934113,"42254.065960648149",5,1,52.6,482
"115",120,2410,"마포구","120. 신수동 사거리",201903,373,"서울특별시 마포구 토정로 211",37.545242,126.934113,"42254.065960648149",5,1,74.6,482
"116",120,2410,"마포구","120. 신수동 사거리",201902,177,"서울특별시 마포구 토정로 211",37.545242,126.934113,"42254.065960648149",5,1,35.4,482
"117",120,2410,"마포구","120. 신수동 사거리",201905,757,"서울특별시 마포구 토정로 211",37.545242,126.934113,"42254.065960648149",5,1,151.4,482
"118",121,3424,"마포구","121. 마포소방서 앞",201812,346,"서울특별시 마포구 창전로 76",37.549767,126.933174,"42254.437824074077",15,1,23.1,228.3
"119",121,3424,"마포구","121. 마포소방서 앞",201903,582,"서울특별시 마포구 창전로 76",37.549767,126.933174,"42254.437824074077",15,1,38.8,228.3
"120",121,3424,"마포구","121. 마포소방서 앞",201904,734,"서울특별시 마포구 창전로 76",37.549767,126.933174,"42254.437824074077",15,1,48.9,228.3
"121",121,3424,"마포구","121. 마포소방서 앞",201901,325,"서울특별시 마포구 창전로 76",37.549767,126.933174,"42254.437824074077",15,1,21.7,228.3
"122",121,3424,"마포구","121. 마포소방서 앞",201902,309,"서울특별시 마포구 창전로 76",37.549767,126.933174,"42254.437824074077",15,1,20.6,228.3
"123",121,3424,"마포구","121. 마포소방서 앞",201905,1128,"서울특별시 마포구 창전로 76",37.549767,126.933174,"42254.437824074077",15,1,75.2,228.3
"124",122,4598,"마포구","122. 신성기사식당 앞",201902,405,"서울특별시 마포구 독막로 223-1",37.547459,126.938377,"42254.438715277778",10,1,40.5,459.8
"125",122,4598,"마포구","122. 신성기사식당 앞",201901,421,"서울특별시 마포구 독막로 223-1",37.547459,126.938377,"42254.438715277778",10,1,42.1,459.8
"126",122,4598,"마포구","122. 신성기사식당 앞",201905,1528,"서울특별시 마포구 독막로 223-1",37.547459,126.938377,"42254.438715277778",10,1,152.8,459.8
"127",122,4598,"마포구","122. 신성기사식당 앞",201904,1004,"서울특별시 마포구 독막로 223-1",37.547459,126.938377,"42254.438715277778",10,1,100.4,459.8
"128",122,4598,"마포구","122. 신성기사식당 앞",201812,458,"서울특별시 마포구 독막로 223-1",37.547459,126.938377,"42254.438715277778",10,1,45.8,459.8
